"Etunimi","Sukupuoli"
"Agnia","nainen"
"Agnieska","nainen"
"Agnieszka","nainen"
"Agon","mies"
"Agostino","mies"
"Agron","mies"
"Agust","mies"
"Agustin","mies"
"Agustina","nainen"
"Agyemang","mies"
"Ahad","mies"
"Aharon","mies"
"Ahdinpoika","mies"
"Ahdintytär","nainen"
"Ahlaam","nainen"
"Ahlam","nainen"
"Ahma","mies"
"Ahmad","mies"
"Ahmad","nainen"
"Ahmed","mies"
"Ahmed","nainen"
"Ahmed-Nur","mies"
"Ahmed-Nur","nainen"
"Ahmed-Wali","nainen"
"Ahmedei","mies"
"Ahmedey","mies"
"Ahmednuor","mies"
"Ahmednur","mies"
"Ahmednur","nainen"
"Ahmet","mies"
"Ahnaf","mies"
"Ahsan","mies"
"Ahti","mies"
"Ahtinpoika","mies"
"Ahto","mies"
"Ahvo","mies"
"Ai","nainen"
"Aia","nainen"
"Aicha","nainen"
"Aïcha","nainen"
"Aida","nainen"
"Aïda","nainen"
"Aidan","mies"
"Aiden","mies"
"Aiden","nainen"
"Aidi","nainen"
"Aidiid","nainen"
"Aidin","mies"
"Áigin","mies"
"Aiham","mies"
"Aihe","mies"
"Aija","nainen"
"Aija-Leena","nainen"
"Aija-Liisa","nainen"
"Aija-Mari","nainen"
"Aija-Maria","nainen"
"Aija-Riitta","nainen"
"Aija-Sisko","nainen"
"Aiju","nainen"
"Aika","nainen"
"Aikaterini","nainen"
"Aikku","nainen"
"Aiko","nainen"
"Aila","nainen"
"Aila-Maija","nainen"
"Aila-Maria","nainen"
"Aila-Sisko","nainen"
"Ailakki","nainen"
"Aile","nainen"
"Áile","nainen"
"Aileen","nainen"
"Aili","nainen"
"Aili-Maria","nainen"
"Ailiina","nainen"
"Ailikki","nainen"
"Ailin","nainen"
"Ailo","mies"
"Ailu","mies"
"Áilu","mies"
"Aiman","mies"
"Aiman","nainen"
"Aime","nainen"
"Aimé","mies"
"Aimé","nainen"
"Aimee","nainen"
"Aimée","nainen"
"Aimi","nainen"
"Aimo","mies"
"Aimo","nainen"
"Aimonpoika","mies"
"Ain","mies"
"Aina","nainen"
"Aina-Ilona","nainen"
"Aina-Maria","nainen"
"Ainamo","nainen"
"Ainara","nainen"
"Ainaz","nainen"
"Ainhoa","nainen"
"Aini","nainen"
"Ainikki","nainen"
"Aino","mies"
"Aino","nainen"
"Aino-Amanda","nainen"
"Aino-Annikki","nainen"
"Aino-Elina","nainen"
"Aino-Elisa","nainen"
"Aino-Ellen","nainen"
"Aino-Emilia","nainen"
"Aino-Helena","nainen"
"Aino-Ilona","nainen"
"Aino-Inkeri","nainen"
"Aino-Julia","nainen"
"Aino-Kaarina","nainen"
"Aino-Kaija","nainen"
"Aino-Kaisa","nainen"
"Aino-Kaisla","nainen"
"Aino-Katri","nainen"
"Aino-Kerttu","nainen"
"Aino-Leena","nainen"
"Aino-Liina","nainen"
"Aino-Liisa","nainen"
"Aino-Linnea","nainen"
"Aino-Lotta","nainen"
"Aino-Lyydia","nainen"
"Aino-Maaria","nainen"
"Aino-Maija","nainen"
"Aino-Mari","nainen"
"Aino-Maria","nainen"
"Aino-Marja","nainen"
"Aino-Marjatta","nainen"
"Aino-Olivia","nainen"
"Aino-Orvokki","nainen"
"Aino-Riikka","nainen"
"Aino-Riitta","nainen"
"Aino-Sisko","nainen"
"Aino-Sofia","nainen"
"Aino-Tuulia","nainen"
"Ainoa","nainen"
"Ainokaisa","nainen"
"Ainoleena","nainen"
"Ainoliina","nainen"
"Ainoliisa","nainen"
"Ainomaija","nainen"
"Ainomari","nainen"
"Ainomaria","nainen"
"Ainomarja","nainen"
"Ainosofia","nainen"
"Ainotar","nainen"
"Ainu","nainen"
"Ainur","nainen"
"Ainut","nainen"
"Aira","nainen"
"Aira-Liisa","nainen"
"Aira-Maria","nainen"
"Airah","nainen"
"Aire","nainen"
"Airi","nainen"
"Airiina","nainen"
"Airikki","nainen"
"Airin","nainen"
"Airina","nainen"
"Airis","nainen"
"Airut","nainen"
"Aisa","nainen"
"Aise","nainen"
"Aisha","nainen"
"Aishah","nainen"
"Aishe","nainen"
"Aisho","nainen"
"Aishwarya","nainen"
"Aisla","nainen"
"Aisling","nainen"
"Aissa","nainen"
"Aissatou","nainen"
"Aito","mies"
"Aitor","mies"
"Aiva","nainen"
"Aivar","mies"
"Aive","nainen"
"Aivi","nainen"
"Aivo","mies"
"Aiya","nainen"
"Aiyana","nainen"
"Aiza","nainen"
"Aja","nainen"
"Ajan","mies"
"Ajana","nainen"
"Ajatar","nainen"
"Ajay","mies"
"Ajda","nainen"
"Ajdin","mies"
"Ajibola","mies"
"Ajla","nainen"
"Ajlin","nainen"
"Ajmal","mies"
"Ajna","nainen"
"Ajsa","nainen"
"Ajshe","nainen"
"Akam","mies"
"Akar","mies"
"Akash","mies"
"Akatius","mies"
"Akbar","mies"
"Ake","mies"
"Akeem","mies"
"Akhtar","nainen"
"Aki","mies"
"Aki","nainen"
"Aki-Juhani","mies"
"Aki-Jussi","mies"
"Aki-Markus","mies"
"Aki-Matti","mies"
"Aki-Pekka","mies"
"Aki-Petri","mies"
"Aki-Petteri","mies"
"Aki-Ville","mies"
"Akif","mies"
"Akiko","nainen"
"Akil","mies"
"Akiliina","nainen"
"Akilles","mies"
"Akim","mies"
"Akin","mies"
"Akinpoika","mies"
"Akintytär","nainen"
"Akinyi","nainen"
"Akio","mies"
"Akipekka","mies"
"Akira","mies"
"Akira","nainen"
"Akito","mies"
"Akke","mies"
"Akmeeli","mies"
"Ako","mies"
"Akol","mies"
"Ákos","mies"
"Akosua","nainen"
"Akram","mies"
"Akram","nainen"
"Aksa","nainen"
"Aksana","nainen"
"Aksel","mies"
"Akseli","mies"
"Akseli","nainen"
"Akseliina","nainen"
"Akselina","nainen"
"Akselinpoika","mies"
"Aksenia","nainen"
"Aksia","nainen"
"Aksiina","nainen"
"Aksinja","nainen"
"Aksu","mies"
"Akter","nainen"
"Aku","mies"
"Aku","nainen"
"Aku-Kalle","mies"
"Aku-Kimmo","mies"
"Aku-Matias","mies"
"Aku-Matti","mies"
"Aku-Oskari","mies"
"Aku-Pekka","mies"
"Aku-Petteri","mies"
"Aku-Santeri","mies"
"Aku-Ville","mies"
"Akua","nainen"
"Akuliina","nainen"
"Akulina","nainen"
"Akunpoika","mies"
"Akusti","mies"
"Akustiina","nainen"
"Akveliina","nainen"
"Akviliina","nainen"
"Akvilina","nainen"
"Akwasi","mies"
"Al","mies"
"Al","nainen"
"Ala","nainen"
"Alaa","mies"
"Alaa","nainen"
"Aladar","mies"
"Aladdin","mies"
"Aladin","mies"
"Alaia","nainen"
"Alain","mies"
"Alaina","nainen"
"Alam","mies"
"Alam","nainen"
"Alan","mies"
"Alana","nainen"
"Aland","mies"
"Alanna","nainen"
"Alannah","nainen"
"Alar","mies"
"Alara","nainen"
"Alari","mies"
"Alaric","mies"
"Alarik","mies"
"Alas","mies"
"Alasdair","mies"
"Alaska","nainen"
"Alastair","mies"
"Alawi","mies"
"Alawi","nainen"
"Alba","nainen"
"Alban","mies"
"Albana","nainen"
"Albanus","mies"
"Albena","nainen"
"Albert","mies"
"Alberta","nainen"
"Albertiina","nainen"
"Albertina","nainen"
"Albertino","mies"
"Alberto","mies"
"Albertti","mies"
"Albertto","mies"
"Albertus","mies"
"Albi","mies"
"Albiinus","mies"
"Albin","mies"
"Albina","nainen"
"Albino","mies"
"Albinus","mies"
"Albion","mies"
"Albrecht","mies"
"Albulena","nainen"
"Albus","mies"
"Alcides","mies"
"Alda","nainen"
"Alde","nainen"
"Aldeen","mies"
"Alden","mies"
"Aldi","nainen"
"Aldin","mies"
"Aldina","nainen"
"Aldo","mies"
"Aldur","mies"
"Ale","mies"
"Alea","nainen"
"Aleah","nainen"
"Alec","mies"
"Alec","nainen"
"Alecia","nainen"
"Aleena","nainen"
"Alef","mies"
"Aleftina","nainen"
"Alegria","nainen"
"Aleida","nainen"
"Aleina","nainen"
"Alejandra","nainen"
"Alejandro","mies"
"Alek","mies"
"Aleko","mies"
"Aleks","mies"
"Aleksa","mies"
"Aleksa","nainen"
"Aleksanda","nainen"
"Aleksandar","mies"
"Aleksander","mies"
"Aleksanderi","mies"
"Aleksandr","mies"
"Aleksandra","nainen"
"Aleksandre","mies"
"Aleksandria","nainen"
"Aleksandrina","nainen"
"Aleksandros","mies"
"Aleksandrovich","mies"
"Aleksandrovits","mies"
"Aleksandrovna","nainen"
"Aleksandrs","mies"
"Aleksanni","nainen"
"Aleksanter","mies"
"Aleksanteri","mies"
"Aleksanteri","nainen"
"Aleksantra","nainen"
"Alekseevna","nainen"
"Aleksei","mies"
"Alekseij","mies"
"Aleksej","mies"
"Aleksejevna","nainen"
"Aleksey","mies"
"Aleksi","mies"
"Aleksi","nainen"
"Aleksi-Matias","mies"
"Aleksia","nainen"
"Aleksiina","nainen"
"Aleksina","nainen"
"Aleksinpoika","mies"
"Aleksintytär","nainen"
"Aleksios","mies"
"Aleksis","mies"
"Aleksius","mies"
"Alem","mies"
"Alem","nainen"
"Alen","mies"
"Alena","nainen"
"Ales","mies"
"Alesia","nainen"
"Alessa","nainen"
"Alessandra","nainen"
"Alessandro","mies"
"Alessia","nainen"
"Alessio","mies"
"Aleta","nainen"
"Alethea","nainen"
"Aletta","nainen"
"Alette","nainen"
"Alevtina","nainen"
"Alex","mies"
"Alex","nainen"
"Alex-Santeri","mies"
"Alexa","nainen"
"Alexander","mies"
"Alexander","nainen"
"Alexandr","mies"
"Alexandra","mies"
"Alexandra","nainen"
"Alexandre","mies"
"Alexandria","nainen"
"Alexandrina","nainen"
"Alexandrine","nainen"
"Alexandro","mies"
"Alexandros","mies"
"Alexandrovich","mies"
"Alexandrovna","nainen"
"Alexandru","mies"
"Alexanna","nainen"
"Alexanteri","mies"
"Alexei","mies"
"Alexej","mies"
"Alexey","mies"
"Alexi","mies"
"Alexia","nainen"
"Alexiina","nainen"
"Alexina","nainen"
"Alexinpoika","mies"
"Alexintytär","nainen"
"Alexios","mies"
"Alexis","mies"
"Alexis","nainen"
"Alexius","mies"
"Alexsander","mies"
"Alexsandra","nainen"
"Alexsanteri","mies"
"Alexzandra","nainen"
"Aleyna","nainen"
"Alf","mies"
"Alf-Erik","mies"
"Alf-Johan","mies"
"Alf-Peter","mies"
"Alfa","mies"
"Alfa","nainen"
"Alfhild","nainen"
"Alfhilda","nainen"
"Alfia","nainen"
"Alfie","mies"
"Alfiina","nainen"
"Alfilda","nainen"
"Alfina","nainen"
"Alfons","mies"
"Alfonso","mies"
"Alfred","mies"
"Alfredo","mies"
"Alfret","mies"
"Alfrida","nainen"
"Alfriida","nainen"
"Alfsol","nainen"
"Algot","mies"
"Algoth","mies"
"Alhassan","mies"
"Alheidi","nainen"
"Alho","mies"
"Ali","mies"
"Ali","nainen"
"Ali-Nur","mies"
"Alia","nainen"
"Aliah","nainen"
"Aliaksandr","mies"
"Aliana","nainen"
"Alias","mies"
"Alic","nainen"
"Alica","nainen"
"Alice","nainen"
"Alicia","nainen"
"Alicja","nainen"
"Alida","nainen"
"Alide","nainen"
"Alie","nainen"
"Aliénor","nainen"
"Alieu","mies"
"Aliia","nainen"
"Aliida","nainen"
"Aliide","nainen"
"Aliina","nainen"
"Aliisa","nainen"
"Aliise","nainen"
"Aliisi","nainen"
